Date,Open,High,Low,Close,Volume
2021-01-01,2004.56,2021.03,1975.31,2015.9,521743
2021-01-04,2037.72,2062.96,2001.04,2012.73,614906
2021-01-05,2013.3,2052.75,1989.7,2033.29,682296
2021-01-06,2036.02,2106.88,2014.57,2080.76,576492
2021-01-07,2076.96,2106.17,2064.28,2074.49,461462
2021-01-08,2065.78,2082.38,2050.05,2068.24,519924
2021-01-11,2089.5,2148.47,2078.79,2118.27,766220
2021-01-12,2106.58,2151.38,2096.96,2143.71,167300
2021-01-13,2147.01,2159.28,2102.84,2129.69,491407
2021-01-14,2138.37,2176.43,2110.56,2148.08,907274
2021-01-15,2146.29,2171.65,2117.18,2134.23,291285
2021-01-18,2137.24,2164.91,2096.06,2120.38,928804
2021-01-19,2127.41,2138.31,2108.08,2129.14,476460
2021-01-20,2141.63,2173.33,2039.75,2069.1,198971
2021-01-21,2073.23,2099.42,2006.97,2016.6,138744
2021-01-22,2010.03,2027.27,1974.73,2000.6,478226
2021-01-25,2003.69,2023.07,1954.24,1971.2,419586
2021-01-26,1987.98,1999.65,1962.96,1981.48,710278
2021-01-27,1988.95,2009.38,1932.22,1955.48,469061
2021-01-28,1959.21,1967.21,1899.72,1915.04,334975
2021-01-29,1913.03,1982.38,1904.13,1958.1,627938
2021-02-01,1949.77,1970.44,1927.29,1952.44,669405
2021-02-02,1940.77,1968.34,1917.11,1955.4,977676
2021-02-03,1959.74,1977.78,1910.63,1914.59,889622
2021-02-04,1907.07,1934.64,1887.02,1899.91,148113
2021-02-05,1906.07,1917.98,1896.53,1904.02,239861
2021-02-08,1910.9,1939.47,1859.39,1872.1,132125
2021-02-09,1868.61,1898.34,1847.33,1883.59,329767
2021-02-10,1885.7,1899.07,1853.8,1867.56,492144
2021-02-11,1876.26,1896.98,1856.52,1860.32,790778
2021-02-12,1846.13,1868.88,1838.54,1844.46,998336
2021-02-15,1856.1,1914.92,1840.78,1896.63,278157
2021-02-16,1891.28,1915.29,1873.69,1897.19,643056
2021-02-17,1898.94,1916.58,1849.65,1868.04,805321
2021-02-18,1877.61,1902.44,1853.71,1892.02,443243
2021-02-19,1897.63,1913.71,1852.74,1858.32,353807
2021-02-22,1856.74,1887.83,1835.94,1865.07,783245
2021-02-23,1860.85,1883.64,1795.38,1811.18,711709
2021-02-24,1800.84,1812.13,1762.43,1776.0,816442
2021-02-25,1774.28,1787.75,1765.65,1782.13,893327
2021-02-26,1795.62,1829.77,1770.25,1802.77,281383
2021-03-01,1808.45,1827.18,1794.78,1808.3,844854
2021-03-02,1819.34,1825.78,1792.83,1806.07,298139
2021-03-03,1811.33,1834.72,1786.24,1798.81,171017
2021-03-04,1815.77,1823.75,1748.01,1759.82,910364
2021-03-05,1773.4,1784.66,1737.62,1741.7,645648
2021-03-08,1742.93,1753.18,1705.91,1730.53,941279
2021-03-09,1715.23,1768.29,1702.22,1758.84,602394
2021-03-10,1763.36,1782.86,1748.76,1768.79,714653
2021-03-11,1764.07,1770.66,1717.64,1722.89,709756
