Ticker,TotalTrades,FilledTrades,CompletedTrades,OpenTrades,PendingTrades,WinRate_%,AvgReturn_%,AvgHoldingDays,ProfitFactor,MaxMAE_%
LT.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RELIANCE.NS,4,4,4,0,0,100.0,33.17,167.5,inf,-18.47
SBIN.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HDFCBANK.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ICICIBANK.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AXISBANK.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
KOTAKBANK.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HCLTECH.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INFY.NS,5,5,4,1,0,100.0,28.02,210.6,inf,-18.3
TCS.NS,3,3,3,0,0,100.0,32.45,124.0,inf,-5.56
HDFCAMC.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
NAM-INDIA.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HDFCLIFE.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ICICIPRULI.NS,1,1,1,0,0,100.0,26.37,41.0,inf,-0.32
ICICIGI.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BAJAJFINSV.NS,1,1,1,0,0,100.0,21.34,70.0,inf,-12.76
BAJAJHLDNG.NS,3,3,2,1,0,100.0,13.35,148.3,inf,-26.76
BAJFINANCE.NS,1,1,1,0,0,100.0,20.58,22.0,inf,-6.53
ASIANPAINT.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BAJAJ-AUTO.NS,1,1,1,0,0,100.0,20.87,63.0,inf,-1.65
MARUTI.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HINDUNILVR.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
NESTLEIND.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PGHH.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PIDILITIND.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
COLPAL.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
DABUR.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GILLETTE.NS,2,2,1,1,0,100.0,15.91,87.0,inf,-8.51
MARICO.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITC.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PFIZER.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
TITAN.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PAGEIND.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BATAINDIA.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
HAVELLS.NS,1,1,0,1,0,0.0,-16.74,173.0,1.0,-17.21
VOLTAS.NS,1,1,1,0,0,100.0,30.42,694.0,inf,-22.54
SANOFI.NS,2,2,1,1,0,100.0,-8.25,580.0,inf,-45.66
GLAXO.NS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
