Ticker,SetupDate,TriggerDate,FillDate,ExitDate,EntryPrice,ExitPrice,PnL_%,HoldingDays,Status,MaxPaperLoss_%,InitialMove_%
RELIANCE.NS,2021-05-19,2021-05-28,2021-06-09,2021-06-29,1745.48,2261.13,29.54,20,COMPLETED,-3.86,29.54
RELIANCE.NS,2021-06-11,2021-07-02,N/A,N/A,1682.95,N/A,0.0,0,PENDING,0.0,42.15
RELIANCE.NS,2022-07-12,2022-07-22,2022-08-04,2022-08-23,2566.25,3386.24,31.95,19,COMPLETED,-1.08,31.95
RELIANCE.NS,2022-08-05,2022-08-26,2022-10-04,2024-06-06,2548.14,3570.04,40.1,611,COMPLETED,-18.47,40.1
RELIANCE.NS,2024-01-23,2024-02-02,2024-02-14,2024-03-05,2406.02,3153.55,31.07,20,COMPLETED,-3.66,31.07
RELIANCE.NS,2024-02-16,2024-03-08,N/A,N/A,2318.07,N/A,0.0,0,PENDING,0.0,43.66
SBIN.NS,2021-02-01,2021-02-08,N/A,N/A,256.27866464335887,N/A,0.0,0,PENDING,0.0,44.42
ICICIBANK.NS,2021-01-28,2021-02-03,N/A,N/A,495.200070989115,N/A,0.0,0,PENDING,0.0,21.87
INFY.NS,2021-05-21,2021-05-28,2021-06-09,2021-06-29,1139.38,1452.95,27.52,20,COMPLETED,-5.08,27.52
INFY.NS,2021-06-11,2021-07-02,2022-05-11,2022-11-08,1095.62,1536.45,40.24,181,COMPLETED,-5.58,40.24
INFY.NS,2022-07-15,2022-07-22,2022-08-03,2022-08-23,1104.37,1411.7,27.83,20,COMPLETED,-4.87,27.83
INFY.NS,2022-08-05,2022-08-26,N/A,N/A,1050.66,N/A,0.0,0,PENDING,0.0,40.76
INFY.NS,2024-01-26,2024-02-02,2024-02-14,2024-03-05,1685.21,2171.73,28.87,20,COMPLETED,-4.81,28.87
INFY.NS,2024-02-16,2024-03-08,2024-03-11,N/A,1601.51,1851.76,15.63,812,OPEN,-18.3,41.44
TCS.NS,2021-05-21,2021-05-28,2021-06-09,2021-06-29,3975.86,5055.6,27.16,20,COMPLETED,-5.56,27.16
TCS.NS,2021-06-11,2021-07-02,2021-08-23,2022-07-21,3784.99,5372.85,41.95,332,COMPLETED,-3.33,41.95
TCS.NS,2022-07-12,2022-07-22,N/A,N/A,4053.21,N/A,0.0,0,PENDING,0.0,34.93
TCS.NS,2022-08-05,2022-08-26,N/A,N/A,4058.95,N/A,0.0,0,PENDING,0.0,42.91
TCS.NS,2024-01-26,2024-02-02,2024-02-14,2024-03-05,4737.65,6075.23,28.23,20,COMPLETED,-4.09,28.23
TCS.NS,2024-02-16,2024-03-08,N/A,N/A,4557.91,N/A,0.0,0,PENDING,0.0,41.42
NAM-INDIA.NS,2023-10-09,2023-10-16,N/A,N/A,307.8200007307039,N/A,0.0,0,PENDING,0.0,21.23
