Ticker,SetupDate,TriggerDate,FillDate,ExitDate,EntryPrice,ExitPrice,PnL_%,HoldingDays,Status,MaxPaperLoss_%
RELIANCE.NS,2021-05-19,2021-05-28,2021-06-09,2021-06-29,1745.48,2261.13,29.54,20,COMPLETED,-3.86
TCS.NS,2021-05-21,2021-05-28,2021-06-09,2021-06-29,3975.86,5055.6,27.16,20,COMPLETED,-5.56
INFY.NS,2021-05-21,2021-05-28,2021-06-09,2021-06-29,1139.38,1452.95,27.52,20,COMPLETED,-5.08
TCS.NS,2021-06-11,2021-07-02,2021-08-23,2022-07-21,3784.99,5372.85,41.95,332,COMPLETED,-3.33
INFY.NS,2022-07-15,2022-07-22,2022-08-03,2022-08-23,1104.37,1411.7,27.83,20,COMPLETED,-4.87
RELIANCE.NS,2022-07-12,2022-07-22,2022-08-04,2022-08-23,2566.25,3386.24,31.95,19,COMPLETED,-1.08
INFY.NS,2021-06-11,2021-07-02,2022-05-11,2022-11-08,1095.62,1536.45,40.24,181,COMPLETED,-5.58
RELIANCE.NS,2024-01-23,2024-02-02,2024-02-14,2024-03-05,2406.02,3153.55,31.07,20,COMPLETED,-3.66
TCS.NS,2024-01-26,2024-02-02,2024-02-14,2024-03-05,4737.65,6075.23,28.23,20,COMPLETED,-4.09
RELIANCE.NS,2022-08-05,2022-08-26,2022-10-04,2024-06-06,2548.14,3570.04,40.1,611,COMPLETED,-18.47
INFY.NS,2024-01-26,2024-02-02,2024-03-08,N/A,1685.21,1851.76,9.88,815,OPEN,-22.36
INFY.NS,2024-02-16,2024-03-08,2024-03-11,N/A,1601.51,1851.76,15.63,812,OPEN,-18.3
RELIANCE.NS,2021-06-11,2021-07-02,N/A,N/A,1682.95,N/A,0.0,0,PENDING,0.0
TCS.NS,2022-07-12,2022-07-22,N/A,N/A,4053.21,N/A,0.0,0,PENDING,0.0
TCS.NS,2022-08-05,2022-08-26,N/A,N/A,4058.95,N/A,0.0,0,PENDING,0.0
INFY.NS,2022-08-05,2022-08-26,N/A,N/A,1050.66,N/A,0.0,0,PENDING,0.0
RELIANCE.NS,2024-02-16,2024-03-08,N/A,N/A,2318.07,N/A,0.0,0,PENDING,0.0
TCS.NS,2024-02-16,2024-03-08,N/A,N/A,4557.91,N/A,0.0,0,PENDING,0.0
